date;conta;valor;tp_conta
2020-06-01;demais_inversoes_financeiras;1,02058787066764e+07;despesa
2020-06-01;desp_total;1,60100161863757e+10;despesa
2020-06-01;despesas_correntes;1,46587574656741e+10;despesa
2020-06-01;despesas_de_capital;1,35125872070164e+09;despesa
2020-06-01;investimentos;1,12570394643243e+09;despesa
2020-06-01;juros_e_encargos_da_divida;1,69639138755427e+08;despesa
2020-06-01;outras_despesas_correntes;6,50035096069713e+09;despesa
2020-06-01;pessoal_e_encargos_sociais;7,98876736622153e+09;despesa
2020-08-01;amortizacao_da_divida;2,34941093853038e+08;despesa
2020-08-01;demais_inversoes_financeiras;9,93914743057516e+06;despesa
2020-08-01;desp_total;1,96136907630817e+10;despesa
2020-08-01;despesas_correntes;1,78407149752121e+10;despesa
2020-08-01;despesas_de_capital;1,77297578786957e+09;despesa
2020-08-01;investimentos;1,52756237107950e+09;despesa
2020-08-01;juros_e_encargos_da_divida;1,99411238701037e+08;despesa
2020-08-01;outras_despesas_correntes;8,04888561158177e+09;despesa
2020-08-01;pessoal_e_encargos_sociais;9,59241812492933e+09;despesa
2020-10-01;amortizacao_da_divida;2,41495244218708e+08;despesa
2020-10-01;demais_inversoes_financeiras;1,08383509661843e+07;despesa
2020-10-01;desp_total;2,23648674916711e+10;despesa
2020-10-01;despesas_correntes;2,01964217641236e+10;despesa
2020-10-01;despesas_de_capital;2,16844572754745e+09;despesa
2020-10-01;investimentos;1,91540264333278e+09;despesa
2020-10-01;juros_e_encargos_da_divida;2,17550144211368e+08;despesa
2020-10-01;outras_despesas_correntes;9,24464340634095e+09;despesa
2020-10-01;pessoal_e_encargos_sociais;1,07342282135713e+10;despesa
2020-12-01;amortizacao_da_divida;2,79854576453804e+08;despesa
2020-12-01;demais_inversoes_financeiras;1,15030157055149e+07;despesa
2020-12-01;desp_total;2,46575555260893e+10;despesa
2020-12-01;despesas_correntes;2,21774652929299e+10;despesa
2020-12-01;despesas_de_capital;2,48009023315939e+09;despesa
2020-12-01;investimentos;2,18794087854427e+09;despesa
2020-12-01;juros_e_encargos_da_divida;2,24912488156009e+08;despesa
2020-12-01;outras_despesas_correntes;9,98830134151155e+09;despesa
2020-12-01;pessoal_e_encargos_sociais;1,19642514632623e+10;despesa
2021-02-01;amortizacao_da_divida;1,23966598803539e+08;despesa
2021-02-01;demais_inversoes_financeiras;4,18812328615741e+06;despesa
2021-02-01;desp_total;7,68245267691834e+09;despesa
2021-02-01;despesas_correntes;7,24019559627425e+09;despesa
2021-02-01;despesas_de_capital;4,42257080644096e+08;despesa
2021-02-01;investimentos;3,14087194902202e+08;despesa
2021-02-01;juros_e_encargos_da_divida;5,67055274534588e+07;despesa
2021-02-01;outras_despesas_correntes;2,23620463282705e+09;despesa
2021-02-01;pessoal_e_encargos_sociais;4,94728543610510e+09;despesa
2021-04-01;amortizacao_da_divida;1,85593337250000e+08;despesa
2021-04-01;demais_inversoes_financeiras;4,34076358000000e+06;despesa
2021-04-01;desp_total;1,09799971072000e+10;despesa
2021-04-01;despesas_correntes;1,01991697331200e+10;despesa
2021-04-01;despesas_de_capital;7,80827374080000e+08;despesa
2021-04-01;investimentos;5,90878295720000e+08;despesa
2021-04-01;juros_e_encargos_da_divida;8,91274735100000e+07;despesa
2021-04-01;outras_despesas_correntes;3,93900463005000e+09;despesa
2021-04-01;pessoal_e_encargos_sociais;6,17103762880000e+09;despesa
2018-02-01;demais_rec_capital;2,08357510776873e+05;
2021-02-01;demais_rec_capital;2,16498936679781e+05;
2021-04-01;demais_rec_capital;2,53945600000000e+05;
2019-02-01;demais_rec_capital;3,72578948876614e+05;
2018-04-01;demais_rec_capital;9,31794966052452e+05;
2020-02-01;demais_rec_capital;1,16746225196381e+06;
2018-06-01;demais_rec_capital;1,43341844821037e+06;
2019-04-01;demais_rec_capital;1,46527448171385e+06;
2019-06-01;demais_rec_capital;1,74391895441874e+06;
2020-04-01;demais_rec_capital;1,79242844667305e+06;
2018-08-01;demais_rec_capital;1,93546915414590e+06;
2020-06-01;demais_rec_capital;1,96685179182566e+06;
2018-10-01;demais_rec_capital;2,38919614276300e+06;
2019-08-01;demais_rec_capital;2,67898190579012e+06;
2020-08-01;demais_rec_capital;3,85288329812902e+06;
2018-02-01;operacoes_de_credito;4,48358250051275e+06;
2018-12-01;demais_rec_capital;5,09317994533589e+06;
2020-10-01;demais_rec_capital;5,46986284638224e+06;
2020-12-01;demais_rec_capital;6,35706552665057e+06;
2019-10-01;demais_rec_capital;9,92599096979072e+06;
2019-12-01;demais_rec_capital;1,14198571776633e+07;
2018-04-01;operacoes_de_credito;1,78878331064360e+07;
2018-06-01;operacoes_de_credito;2,24161256581466e+07;
