exercicio;periodo;date;cod_ibge;servico_divida
2018;1;2018-02-01;2307908;3,90117048575296e+05
2018;1;2018-02-01;2308203;3,33724835742444e+05
2018;1;2018-02-01;2308377;2,54625582314323e+05
2018;1;2018-02-01;2308500;5,46892403131143e+05
2018;1;2018-02-01;2308609;1,49600788436268e+05
2018;1;2018-02-01;2308708;6,39162233787122e+05
2018;1;2018-02-01;2308807;6,90465177398160e+04
2018;1;2018-02-01;2308906;4,15715964473062e+05
2018;1;2018-02-01;2309102;2,99672128890933e+04
2018;1;2018-02-01;2309300;6,90465177398160e+04
2018;1;2018-02-01;2309409;2,49718239159001e+05
2018;1;2018-02-01;2309458;4,60310118265440e+05
2018;1;2018-02-01;2309607;9,30407983191853e+05
2018;1;2018-02-01;2309706;5,17352484617083e+05
2018;1;2018-02-01;2309805;3,68248094612352e+05
2018;1;2018-02-01;2309904;1,49600788436268e+05
2018;1;2018-02-01;2310001;1,15077529566360e+05
2018;1;2018-02-01;2310100;2,97475413929041e+05
2018;1;2018-02-01;2310209;4,54556241787122e+05
2018;1;2018-02-01;2310258;2,41662812089356e+05
2018;1;2018-02-01;2310407;6,90465177398160e+05
2018;1;2018-02-01;2310704;7,82527201051248e+05
2018;1;2018-02-01;2310852;1,21867103810775e+06
2018;1;2018-02-01;2310902;1,81509255679369e+05
2018;1;2018-02-01;2310951;1,15077529566360e+05
2018;1;2018-02-01;2311009;1,03797860273325e+04
2018;1;2018-02-01;2311108;1,66632262812089e+05
