date;cod_ibge;Executivo;Legislativo;total
2020-04-01;2302008;60,52;2,30;62,82
2020-08-01;2302008;59,19;2,13;61,32
2020-12-01;2302008;66,37;2,16;68,53
2021-04-01;2302008;64,14;2,15;66,29
2018-04-01;2302057;52,27;2,56;54,83
2018-08-01;2302057;53,15;2,56;55,71
2018-12-01;2302057;53,50;0,03;53,53
2019-04-01;2302057;51,18;2,01;53,19
2019-08-01;2302057;52,11;2,16;54,27
2019-12-01;2302057;50,95;2,34;53,29
2020-04-01;2302057;53,35;2,46;55,81
2020-08-01;2302057;53,64;2,42;56,06
2020-12-01;2302057;53,72;2,40;56,12
2021-04-01;2302057;50,78;2,36;53,14
2018-04-01;2302107;57,62;2,69;60,31
2018-08-01;2302107;53,98;2,60;56,58
2018-12-01;2302107;53,76;2,63;56,39
2019-04-01;2302107;53,95;2,55;56,50
2019-08-01;2302107;55,20;2,49;57,69
2019-12-01;2302107;51,43;2,41;53,84
2020-04-01;2302107;51,09;2,40;53,49
2020-08-01;2302107;46,31;2,25;48,56
2020-12-01;2302107;48,75;2,23;50,98
2018-04-01;2302206;62,45;2,43;64,88
2018-08-01;2302206;59,64;2,35;61,99
2018-12-01;2302206;60,59;2,36;62,95
2019-04-01;2302206;57,85;2,27;60,12
2019-08-01;2302206;58,17;2,25;60,42
2019-12-01;2302206;59,42;2,28;61,70
2020-04-01;2302206;;2,34;
2020-08-01;2302206;59,39;2,29;61,68
2020-12-01;2302206;63,19;2,30;65,49
2021-04-01;2302206;61,31;2,41;63,72
2018-04-01;2302305;71,88;2,86;74,74
2018-08-01;2302305;68,16;27,17;95,33
2018-12-01;2302305;70,96;2,57;73,53
2019-04-01;2302305;65,62;2,50;68,12
2019-08-01;2302305;71,17;2,55;73,72
2019-12-01;2302305;64,07;2,66;66,73
2020-04-01;2302305;68,24;2,72;70,96
2020-08-01;2302305;60,92;2,78;63,70
2020-12-01;2302305;62,62;2,78;65,40
2021-04-01;2302305;61,61;2,72;64,33
2018-04-01;2302404;66,36;2,92;69,28
2018-08-01;2302404;59,88;2,71;62,59
2018-12-01;2302404;63,39;2,67;66,06
2019-04-01;2302404;59,67;2,53;62,20
2019-08-01;2302404;59,16;2,43;61,59
2019-12-01;2302404;53,99;2,27;56,26
2020-04-01;2302404;53,96;2,31;56,27
2020-08-01;2302404;54,18;2,25;56,43
2020-12-01;2302404;59,20;2,42;61,62
2021-04-01;2302404;59,04;2,32;61,36
2018-04-01;2302503;40,33;1,70;42,03
2018-08-01;2302503;53,52;2,25;55,77
2018-12-01;2302503;53,80;1,74;55,54
2019-04-01;2302503;49,54;2,02;51,56
2019-08-01;2302503;47,44;1,97;49,41
2019-12-01;2302503;45,08;1,90;46,98
2020-04-01;2302503;41,76;1,92;43,68
2020-08-01;2302503;45,42;1,77;47,19
2020-12-01;2302503;47,09;1,72;48,81
2021-04-01;2302503;43,01;1,68;44,69
2018-04-01;2302602;43,94;2,24;46,18
2018-08-01;2302602;39,96;2,31;42,27
2018-12-01;2302602;42,05;2,45;44,50
2019-04-01;2302602;42,31;2,48;44,79
2019-08-01;2302602;42,48;2,48;44,96
2019-12-01;2302602;44,74;2,51;47,25
2020-04-01;2302602;48,27;2,41;50,68
2020-08-01;2302602;46,16;2,30;48,46
2020-12-01;2302602;47,12;2,23;49,35
2021-04-01;2302602;44,21;2,16;46,37
2018-04-01;2302701;26,89;1,97;28,86
2018-08-01;2302701;45,08;1,80;46,88
2018-12-01;2302701;46,31;2,50;48,81
2019-04-01;2302701;46,92;2,52;49,44
2019-08-01;2302701;47,51;2,32;49,83
2019-12-01;2302701;48,92;2,33;51,25
2020-04-01;2302701;47,31;2,25;49,56
2020-08-01;2302701;47,02;2,19;49,21
2020-12-01;2302701;49,57;2,17;51,74
2021-04-01;2302701;158,44;2,10;160,54
2018-04-01;2302800;52,17;1,36;53,53
2018-08-01;2302800;50,72;1,32;52,04
2018-12-01;2302800;53,92;1,49;55,41
2019-04-01;2302800;52,96;1,35;54,31
2019-08-01;2302800;54,54;1,46;56,00
2019-12-01;2302800;65,21;1,70;66,91
2020-04-01;2302800;65,45;1,68;67,13
2020-08-01;2302800;64,48;1,58;66,06
2020-12-01;2302800;65,70;1,55;67,25
2021-04-01;2302800;63,56;1,53;65,09
2018-04-01;2302909;57,24;3,03;60,27
2018-08-01;2302909;58,13;3,06;61,19
2018-12-01;2302909;57,52;3,21;60,73
2019-04-01;2302909;60,47;;
2019-08-01;2302909;60,76;3,59;64,35
2019-12-01;2302909;57,63;3,18;60,81
2020-04-01;2302909;59,13;1,96;61,09
2020-08-01;2302909;59,91;2,73;62,64
2020-12-01;2302909;59,58;3,06;62,64
2021-04-01;2302909;58,83;3,01;61,84
2018-04-01;2303006;43,80;2,74;46,54
2018-08-01;2303006;44,06;2,76;46,82
2018-12-01;2303006;31,27;;
2019-04-01;2303006;30,34;7,59;37,93
2019-08-01;2303006;30,72;3,54;34,26
2019-12-01;2303006;43,87;2,53;46,40
2020-04-01;2303006;44,28;2,47;46,75
2020-08-01;2303006;41,61;2,33;43,94
2020-12-01;2303006;41,12;2,40;43,52
2021-04-01;2303006;41,16;2,35;43,51
2018-04-01;2303105;53,22;2,91;56,13
2018-08-01;2303105;49,66;2,98;52,64
