date;cod_ibge;transferencias_de_capital;operacoes_de_credito;investimentos
2018-08-01;2301901;7,88896534366943e+06;0,000000000;7,27566463445951e+06
2018-08-01;2302057;1,73068261246776e+04;0,000000000;2,27752979914080e+06
2018-08-01;2302107;1,53059744766501e+06;0,000000000;1,77123557064659e+06
2018-08-01;2302206;8,58479995491006e+05;0,000000000;9,29394371908471e+05
2018-08-01;2302305;3,40082358559970e+05;0,000000000;1,06393116684307e+06
2018-08-01;2302404;2,08786022787579e+06;0,000000000;4,70625203085649e+06
2018-08-01;2302503;2,55648807807531e+06;0,000000000;1,07714267640200e+07
2018-08-01;2302602;2,25975812062045e+07;0,000000000;3,68249167814138e+07
2018-08-01;2302701;3,51723234726051e+06;0,000000000;9,10173084736099e+06
2018-08-01;2302800;6,59642699918522e+05;0,000000000;2,04253286686130e+06
